1	 1.578398e-02
2	 2.617505e-02
3	 5.462508e-03
4	 1.057470e-02
5	 2.106286e-02
6	 3.163756e-02
7	 3.163756e-02
8	 2.110973e-02
9	 1.052783e-02
10	 3.163756e-02
11	 3.163756e-02
12	 3.163816e-02
13	 3.163697e-02
14	 3.163756e-02
15	 3.163756e-02
16	 1.054223e-02
17	 2.109533e-02
18	 3.163756e-02
19	 3.163756e-02
20	 2.107726e-02
21	 1.056030e-02
22	 3.163756e-02
23	 3.163756e-02
24	 2.066877e-02
25	 1.096671e-02
26	 3.163965e-02
27	 3.163756e-02
28	 3.163756e-02
29	 1.050975e-02
30	 4.308488e-03
